root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
22:48:43.690705 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 523956827:523956935, ack 2132211271, win 501, length 108
22:48:43.690758 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 108:144, ack 1, win 501, length 36
22:48:43.690809 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 144:252, ack 1, win 501, length 108
22:48:43.690857 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 252:288, ack 1, win 501, length 36
22:48:43.691250 IP 142.93.146.161.51402 > dns.google.domain: 45221+ PTR? 45.112.114.142.in-addr.arpa. (45)
22:48:43.694924 IP bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727 > 142.93.146.161.ssh: Flags [.], ack 288, win 512, length 0
22:48:43.700862 IP dns.google.domain > 142.93.146.161.51402: 45221 1/0/0 PTR bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca. (114)
22:48:43.701039 IP 142.93.146.161.39935 > dns.google.domain: 60034+ PTR? 161.146.93.142.in-addr.arpa. (45)
22:48:43.708831 IP dns.google.domain > 142.93.146.161.39935: 60034 NXDomain 0/1/0 (112)
22:48:43.708984 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 288:500, ack 1, win 501, length 212
22:48:43.709066 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 500:536, ack 1, win 501, length 36
22:48:43.709104 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 536:724, ack 1, win 501, length 188
22:48:43.709148 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 724:760, ack 1, win 501, length 36
22:48:43.709203 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 760:948, ack 1, win 501, length 188
22:48:43.709243 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 948:984, ack 1, win 501, length 36
22:48:43.709294 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 984:1172, ack 1, win 501, length 188
22:48:43.709334 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 1172:1208, ack 1, win 501, length 36
22:48:43.709428 IP 142.93.146.161.59342 > dns.google.domain: 9327+ PTR? 8.8.8.8.in-addr.arpa. (38)
22:48:43.710001 IP dns.google.domain > 142.93.146.161.59342: 9327 1/0/0 PTR dns.google. (62)
22:48:43.710092 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 1208:1348, ack 1, win 501, length 140
22:48:43.710139 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 1348:1384, ack 1, win 501, length 36
22:48:43.715339 IP bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727 > 142.93.146.161.ssh: Flags [.], ack 1384, win 516, length 0
22:48:43.715384 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 1384:4288, ack 1, win 501, length 2904
22:48:43.715423 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 4288:4760, ack 1, win 501, length 472
22:48:43.715486 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 4760:4940, ack 1, win 501, length 180
22:48:43.715530 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 4940:4976, ack 1, win 501, length 36
22:48:43.715582 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 4976:5172, ack 1, win 501, length 196
22:48:43.715642 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 5172:5404, ack 1, win 501, length 232
22:48:43.715676 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 5404:5440, ack 1, win 501, length 36
22:48:43.715726 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 5440:5636, ack 1, win 501, length 196
22:48:43.715776 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 5636:5672, ack 1, win 501, length 36
22:48:43.715837 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 5672:5868, ack 1, win 501, length 196
22:48:43.715882 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 5868:5904, ack 1, win 501, length 36
22:48:43.715933 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 5904:6100, ack 1, win 501, length 196
22:48:43.715971 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 6100:6136, ack 1, win 501, length 36
22:48:43.716018 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 6136:6332, ack 1, win 501, length 196
22:48:43.716061 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 6332:6368, ack 1, win 501, length 36
22:48:43.716120 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 6368:6564, ack 1, win 501, length 196
22:48:43.716172 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 6564:6600, ack 1, win 501, length 36
22:48:43.716223 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 6600:6796, ack 1, win 501, length 196
22:48:43.716262 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 6796:6832, ack 1, win 501, length 36
22:48:43.724558 IP bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727 > 142.93.146.161.ssh: Flags [.], ack 1384, win 516, options [nop,nop,sack 1 {2836:4288}], length 0
22:48:43.724583 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 6832:9384, ack 1, win 501, length 2552
22:48:43.724598 IP bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727 > 142.93.146.161.ssh: Flags [.], ack 4288, win 516, length 0
22:48:43.724607 IP bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727 > 142.93.146.161.ssh: Flags [.], ack 6332, win 516, length 0
22:48:43.724663 IP bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727 > 142.93.146.161.ssh: Flags [.], ack 6832, win 514, length 0
22:48:43.724708 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 9384:9604, ack 1, win 501, length 220
22:48:43.724757 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 9604:9640, ack 1, win 501, length 36
22:48:43.724813 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 9640:9836, ack 1, win 501, length 196
22:48:43.724869 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 9836:9872, ack 1, win 501, length 36
22:48:43.724921 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 9872:10052, ack 1, win 501, length 180
22:48:43.724975 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 10052:10088, ack 1, win 501, length 36
22:48:43.725027 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 10088:10268, ack 1, win 501, length 180
22:48:43.725084 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 10268:10484, ack 1, win 501, length 216
22:48:43.725124 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 10484:10520, ack 1, win 501, length 36
22:48:43.725173 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 10520:10716, ack 1, win 501, length 196
22:48:43.725212 IP 142.93.146.161.ssh > bras-base-toroon2638w-grc-51-142-114-112-45.dsl.bell.ca.49727: Flags [P.], seq 10716:10752, ack 1, win 501, length 36
