root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
23:04:21.230654 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 542719455:542719563, ack 2132238795, win 501, length 108
23:04:21.230720 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 108:144, ack 1, win 501, length 36
23:04:21.230776 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 144:252, ack 1, win 501, length 108
23:04:21.230820 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 252:288, ack 1, win 501, length 36
23:04:21.230944 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 288:460, ack 1, win 501, length 172
23:04:21.231006 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 460:496, ack 1, win 501, length 36
23:04:21.231057 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 496:644, ack 1, win 501, length 148
23:04:21.231094 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 644:680, ack 1, win 501, length 36
23:04:21.231144 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 680:828, ack 1, win 501, length 148
23:04:21.234186 IP 142.114.112.45.49727 > 142.93.146.161.22: Flags [.], ack 828, win 2484, length 0
23:04:21.234213 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 828:1968, ack 1, win 501, length 1140
23:04:21.234296 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 1968:2108, ack 1, win 501, length 140
23:04:21.234340 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 2108:2144, ack 1, win 501, length 36
23:04:21.234392 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 2144:2292, ack 1, win 501, length 148
23:04:21.234430 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 2292:2328, ack 1, win 501, length 36
23:04:21.234479 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 2328:2476, ack 1, win 501, length 148
23:04:21.234517 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 2476:2512, ack 1, win 501, length 36
23:04:21.234563 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 2512:2660, ack 1, win 501, length 148
23:04:21.234601 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 2660:2696, ack 1, win 501, length 36
23:04:21.234647 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 2696:2844, ack 1, win 501, length 148
23:04:21.234683 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 2844:2880, ack 1, win 501, length 36
23:04:21.234729 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 2880:3028, ack 1, win 501, length 148
23:04:21.234766 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 3028:3064, ack 1, win 501, length 36
23:04:21.234812 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 3064:3212, ack 1, win 501, length 148
23:04:21.234863 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 3212:3248, ack 1, win 501, length 36
23:04:21.234913 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 3248:3396, ack 1, win 501, length 148
23:04:21.234953 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 3396:3432, ack 1, win 501, length 36
23:04:21.234999 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 3432:3580, ack 1, win 501, length 148
23:04:21.235038 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 3580:3616, ack 1, win 501, length 36
23:04:21.235084 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 3616:3764, ack 1, win 501, length 148
23:04:21.237777 IP 142.114.112.45.49727 > 142.93.146.161.22: Flags [.], ack 2660, win 2484, length 0
23:04:21.237799 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 3764:5824, ack 1, win 501, length 2060
23:04:21.237877 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 5824:5964, ack 1, win 501, length 140
23:04:21.237922 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 5964:6000, ack 1, win 501, length 36
23:04:21.238056 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 6000:6156, ack 1, win 501, length 156
23:04:21.238105 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 6156:6192, ack 1, win 501, length 36
23:04:21.238165 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 6192:6340, ack 1, win 501, length 148
23:04:21.238205 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 6340:6376, ack 1, win 501, length 36
23:04:21.238253 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 6376:6524, ack 1, win 501, length 148
23:04:21.238291 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 6524:6560, ack 1, win 501, length 36
23:04:21.238338 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 6560:6708, ack 1, win 501, length 148
23:04:21.238376 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 6708:6744, ack 1, win 501, length 36
23:04:21.238428 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 6744:6892, ack 1, win 501, length 148
23:04:21.238469 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 6892:6928, ack 1, win 501, length 36
23:04:21.238517 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 6928:7076, ack 1, win 501, length 148
23:04:21.238556 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 7076:7112, ack 1, win 501, length 36
23:04:21.239139 IP 142.114.112.45.49727 > 142.93.146.161.22: Flags [.], ack 3764, win 2479, length 0
23:04:21.239156 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 7112:8768, ack 1, win 501, length 1656
23:04:21.239220 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 8768:8908, ack 1, win 501, length 140
23:04:21.239261 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 8908:8944, ack 1, win 501, length 36
23:04:21.239310 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 8944:9100, ack 1, win 501, length 156
23:04:21.239373 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 9100:9136, ack 1, win 501, length 36
23:04:21.239469 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 9136:9284, ack 1, win 501, length 148
23:04:21.239509 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 9284:9320, ack 1, win 501, length 36
23:04:21.239558 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 9320:9468, ack 1, win 501, length 148
23:04:21.239607 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 9468:9504, ack 1, win 501, length 36
23:04:21.239654 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 9504:9652, ack 1, win 501, length 148
23:04:21.239692 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 9652:9688, ack 1, win 501, length 36
23:04:21.239739 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 9688:9836, ack 1, win 501, length 148
23:04:21.239776 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 9836:9872, ack 1, win 501, length 36
23:04:21.239822 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 9872:10020, ack 1, win 501, length 148
23:04:21.239862 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 10020:10056, ack 1, win 501, length 36
23:04:21.239914 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 10056:10204, ack 1, win 501, length 148
23:04:21.239954 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 10204:10240, ack 1, win 501, length 36
23:04:21.240002 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 10240:10388, ack 1, win 501, length 148
23:04:21.240040 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 10388:10424, ack 1, win 501, length 36
23:04:21.240086 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 10424:10572, ack 1, win 501, length 148
23:04:21.240124 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 10572:10608, ack 1, win 501, length 36
23:04:21.240170 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 10608:10756, ack 1, win 501, length 148
23:04:21.240207 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 10756:10792, ack 1, win 501, length 36
23:04:21.241401 IP 142.114.112.45.49727 > 142.93.146.161.22: Flags [.], ack 6000, win 2484, length 0
23:04:21.241418 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 10792:13264, ack 1, win 501, length 2472
23:04:21.241484 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 13264:13404, ack 1, win 501, length 140
23:04:21.241527 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 13404:13440, ack 1, win 501, length 36
23:04:21.241574 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 13440:13596, ack 1, win 501, length 156
23:04:21.241612 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 13596:13632, ack 1, win 501, length 36
23:04:21.241666 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 13632:13788, ack 1, win 501, length 156
23:04:21.241704 IP 142.93.146.161.22 > 142.114.112.45.49727: Flags [P.], seq 13788:13824, ack 1, win 501, length 36
23:04:21.244330 IP 142.114.112.45.49727 > 142.93.146.161.22: Flags [.], ack 10424, win 2484, length 0
